,abstraction,condition,member,performance
0,copy,Abstract,Human,-1.7959339965229981
1,copy,Abstract,Human,-2.2770053535750336
2,copy,Abstract,Human,-3.129616367444283
3,copy,Abstract,Human,-1.8884636455125963
4,copy,Abstract,Human,-3.648570867436612
5,copy,Abstract,Human,-3.3108375876596408
6,copy,Abstract,Human,-2.6827030681412225
7,copy,Abstract,Human,-3.182215523614701
8,copy,Abstract,Human,-2.4787104032393525
9,copy,Abstract,Human,-2.1479570611386665
10,copy,Abstract,Human,-3.2599109106372914
11,copy,Abstract,Human,-1.0173910825827908
12,copy,Abstract,Human,-2.196135716478059
13,copy,Abstract,Human,2.3956267198012697
14,copy,Abstract,Human,-1.793291171437802
15,copy,Abstract,Human,-2.336729205756552
16,copy,Abstract,Human,-0.6648342578304159
17,copy,Abstract,Human,2.281082528403396
18,copy,Abstract,Human,1.3012266092709097
19,copy,Abstract,Human,-2.097129850690333
20,copy,Abstract,Human,-3.534425126693181
21,copy,Abstract,Human,-2.9244850134065725
22,copy,Abstract,Human,-3.2778855276795906
23,copy,Abstract,Human,-1.6948280860050504
24,copy,Abstract,Human,-3.200342113879119
25,copy,Abstract,Human,-1.2097711134362463
26,copy,Abstract,Human,-2.401704958969864
27,copy,Abstract,Human,2.999353924857642
28,copy,Abstract,Human,0.8064018905383898
29,copy,Abstract,Human,-2.9186409312358386
30,copy,Abstract,Human,-1.612555865030207
31,copy,Abstract,Human,-1.4728208034837673
32,copy,Abstract,Human,-2.877789005919254
33,copy,Abstract,Human,-1.9628313220893117
34,copy,Abstract,Human,-2.1418695827318843
35,copy,Abstract,Human,-2.4306353662741484
36,copy,Abstract,Human,-2.937493002315015
37,copy,Abstract,Human,2.088877902489253
38,copy,Abstract,Human,-2.0084130020366966
39,copy,Abstract,Human,-3.277257129987273
40,copy,Abstract,Human,-2.5842102812314414
41,copy,Abstract,Human,-1.3027439848316182
42,copy,Abstract,Human,0.3691257203521171
43,copy,Abstract,Human,-0.011177416057436291
44,copy,Abstract,Human,-0.39727153732442355
45,copy,Abstract,Human,-0.7131149323889611
46,copy,Abstract,Human,-3.9290372689261868
47,copy,Abstract,Human,-1.1844332507344
48,copy,Abstract,Human,-0.6423813829042756
49,copy,Abstract,Human,-2.8504385414789124
50,copy,Metamer,Human,0.569172817370372
51,copy,Metamer,Human,0.5675783343651641
52,copy,Metamer,Human,-0.37221400812758637
53,copy,Metamer,Human,-0.16408781947277795
54,copy,Metamer,Human,-0.4838003804154083
55,copy,Metamer,Human,1.1685163944005676
56,copy,Metamer,Human,0.11144110406322012
57,copy,Metamer,Human,0.3268187935855469
58,copy,Metamer,Human,-2.3412404549540393
59,copy,Metamer,Human,-0.564452320494115
60,copy,Metamer,Human,0.10366820624101304
61,copy,Metamer,Human,-0.8582154669159281
62,copy,Metamer,Human,0.5456530942352769
63,copy,Metamer,Human,0.13776700539583622
64,copy,Metamer,Human,0.1835725216037666
65,copy,Metamer,Human,0.22761700686535136
66,copy,Metamer,Human,-0.3452229086453121
67,copy,Metamer,Human,0.8924450752037145
68,copy,Metamer,Human,-0.3940563063868723
69,copy,Metamer,Human,-0.015771752192631022
70,copy,Metamer,Human,0.014133885011105195
71,copy,Metamer,Human,0.2784142172175804
72,copy,Metamer,Human,1.1318019534152584
73,copy,Metamer,Human,-0.35354011318507694
74,copy,Metamer,Human,-0.1273799805579291
75,copy,Metamer,Human,2.065271067198763
76,copy,Metamer,Human,-0.5630902904176459
77,copy,Metamer,Human,0.9215181773198734
78,copy,Metamer,Human,-0.06250098210959731
79,copy,Metamer,Human,2.317174603949673
80,copy,Metamer,Human,2.6664498424970446
81,copy,Metamer,Human,-0.03140009203956344
82,copy,Metamer,Human,0.25950258547377464
83,copy,Metamer,Human,0.06490308811668227
84,copy,Metamer,Human,1.396524577216663
85,copy,Metamer,Human,0.33318067948874086
86,copy,Metamer,Human,-0.7942611888738724
87,copy,Metamer,Human,1.0422787184923226
88,copy,Metamer,Human,-1.018239003080701
89,copy,Metamer,Human,1.4253430810075614
90,copy,Metamer,Human,-1.0720453738901115
91,copy,Metamer,Human,0.6101898087016283
92,copy,Metamer,Human,-0.018531222859807545
93,copy,Metamer,Human,0.710279643832514
94,copy,Metamer,Human,1.3296103713126988
95,copy,Metamer,Human,-0.11850544521472228
96,copy,Metamer,Human,0.7681113701793454
97,copy,Metamer,Human,0.7316562321859584
98,copy,Metamer,Human,-0.6593969191912101
99,copy,Abstract,Agent,5.415342522864901
100,copy,Abstract,Agent,6.1943820941379935
101,copy,Abstract,Agent,6.1943820941379935
102,copy,Abstract,Agent,6.1943820941379935
103,copy,Abstract,Agent,6.1943820941379935
104,copy,Abstract,Agent,6.1943820941379935
105,copy,Abstract,Agent,6.1943820941379935
106,copy,Abstract,Agent,6.1943820941379935
107,copy,Abstract,Agent,6.1943820941379935
108,copy,Abstract,Agent,6.1943820941379935
109,copy,Abstract,Agent,6.1943820941379935
110,copy,Abstract,Agent,6.1943820941379935
111,copy,Abstract,Agent,6.1943820941379935
112,copy,Abstract,Agent,6.1943820941379935
113,copy,Abstract,Agent,6.1943820941379935
114,copy,Metamer,Agent,-3.9748205469591587
115,copy,Metamer,Agent,-3.5810459058941335
116,copy,Metamer,Agent,-4.361867184955006
117,copy,Metamer,Agent,-3.9430362901196427
118,copy,Metamer,Agent,-2.182864234269873
119,copy,Metamer,Agent,-3.8853762653463053
120,copy,Metamer,Agent,-3.420718263147097
121,copy,Metamer,Agent,-3.6349703429450555
122,copy,Metamer,Agent,-4.0722730815163946
123,copy,Metamer,Agent,-3.96051242474714
124,copy,Metamer,Agent,-4.244818552528298
125,copy,Metamer,Agent,-3.6861430161828594
126,copy,Metamer,Agent,-3.652853392042162
127,copy,Metamer,Agent,-3.3099340820557432
128,copy,Metamer,Agent,-4.094548224430518
129,symmetry,Abstract,Human,0.003442985661522222
130,symmetry,Abstract,Human,-0.558820433034015
131,symmetry,Abstract,Human,-0.12058832733710372
132,symmetry,Abstract,Human,-0.2910015686892306
133,symmetry,Abstract,Human,-0.9333600080373857
134,symmetry,Abstract,Human,0.5975900038864743
135,symmetry,Abstract,Human,-0.5626102110749313
136,symmetry,Abstract,Human,-0.7717851790268607
137,symmetry,Abstract,Human,-0.2947288576575224
138,symmetry,Abstract,Human,-1.526594651871923
139,symmetry,Abstract,Human,-1.805669591735292
140,symmetry,Abstract,Human,0.8907245557537894
141,symmetry,Abstract,Human,-0.7293839162838498
142,symmetry,Abstract,Human,-1.176866458172511
143,symmetry,Abstract,Human,-0.12906834535053385
144,symmetry,Abstract,Human,-0.8033220802667148
145,symmetry,Abstract,Human,-1.2281665388117944
146,symmetry,Abstract,Human,-1.6890290887601116
147,symmetry,Abstract,Human,-1.4928394344891356
148,symmetry,Abstract,Human,-0.8257091966822635
149,symmetry,Abstract,Human,-1.6996696012983277
150,symmetry,Abstract,Human,0.4689472934218898
151,symmetry,Abstract,Human,5.415236780449548
152,symmetry,Abstract,Human,-1.3756467899585025
153,symmetry,Abstract,Human,-1.0365305974985106
154,symmetry,Abstract,Human,-0.45918138991430674
155,symmetry,Abstract,Human,-0.5140901634373425
156,symmetry,Abstract,Human,-0.5882211615645889
157,symmetry,Abstract,Human,-0.38228850626661803
158,symmetry,Abstract,Human,-0.8914203648681955
159,symmetry,Abstract,Human,-1.29750115632567
160,symmetry,Abstract,Human,-1.2796777137548168
161,symmetry,Abstract,Human,-1.4592233517504343
162,symmetry,Abstract,Human,-0.7157571114072105
163,symmetry,Abstract,Human,-1.2599537200261428
164,symmetry,Abstract,Human,-0.8300371964535829
165,symmetry,Abstract,Human,-1.0676478724532499
166,symmetry,Abstract,Human,-0.8729296569009195
167,symmetry,Abstract,Human,-0.579268857863913
168,symmetry,Abstract,Human,-1.399650309018087
169,symmetry,Abstract,Human,-1.1613669462664316
170,symmetry,Abstract,Human,-0.9949932987840076
171,symmetry,Abstract,Human,-1.5699056197751509
172,symmetry,Abstract,Human,-1.4991883910458574
173,symmetry,Abstract,Human,-1.0992658918338465
174,symmetry,Abstract,Human,-1.6875146827156977
175,symmetry,Abstract,Human,-0.22608544944737738
176,symmetry,Abstract,Human,-0.7048898472379231
177,symmetry,Abstract,Human,-0.4527399435056816
178,symmetry,Abstract,Human,0.17025486936572182
179,symmetry,Metamer,Human,-1.002893807481942
180,symmetry,Metamer,Human,-0.7244374693766714
181,symmetry,Metamer,Human,-0.35934987724974454
182,symmetry,Metamer,Human,-0.9058496515624513
183,symmetry,Metamer,Human,-0.40030265902243606
184,symmetry,Metamer,Human,-0.8965305215198931
185,symmetry,Metamer,Human,-0.3658999262675083
186,symmetry,Metamer,Human,-0.5009245531733431
187,symmetry,Metamer,Human,-0.8676479807731589
188,symmetry,Metamer,Human,-0.4504759990115869
189,symmetry,Metamer,Human,-0.15267704679085145
190,symmetry,Metamer,Human,-0.7533364172746699
191,symmetry,Metamer,Human,-0.3529838262782243
192,symmetry,Metamer,Human,-0.5866226363182064
193,symmetry,Metamer,Human,-0.45625893459544753
194,symmetry,Metamer,Human,-0.7800482596239834
195,symmetry,Metamer,Human,-0.2545019636226173
196,symmetry,Metamer,Human,0.41876839339646355
197,symmetry,Metamer,Human,-1.3708427890968218
198,symmetry,Metamer,Human,-0.4149994050298712
199,symmetry,Metamer,Human,-0.06260406231397743
200,symmetry,Metamer,Human,-1.0455165600696916
201,symmetry,Metamer,Human,-0.6490771402232995
